timestamp,minute,hour,day,month,year,CH4,CO,NH3,NO2,PM1_0,PM2_5,PM10_0,eCO2,tVOC,vcc_volt,AQI-1hr-index,AQI-1hr-PM10_0,AQI-1hr-PM2_5,AQI-1hr-NO2, AQI-1hr-CO,AQI-std-index,AQI-std-PM10_0,AQI-std-PM2_5,AQI-std-NO2,AQI-std-CO
1601565632,20,16,1,10,2020,0,0.03,0,0.006233,0,1,2,4826,674,3.379,4.47,0.5555555555555556,1.666666666666667,4.47,0.4772727272727273,5.717054263565892,1.7872523686477175,5.717054263565892,4.47,0.738636363636364
1601566527,35,16,1,10,2020,0,0.03,0,0.0077,1,1,1,4496,624,3.379,4.903396226415094,0.7407407407407408,2.5,4.903396226415094,0.45454545454545453,5.717054263565892,1.7657192075796728,5.717054263565892,4.903396226415094,0.7227272727272731
1601567422,50,16,1,10,2020,0,0.03,0,0.00675,1,2,2,5152,723,3.379,5.5024528301886795,1.1111111111111112,4.166666666666667,5.5024528301886795,0.40909090909090906,5.910852713178295,1.8087855297157622,5.910852713178295,5.5024528301886795,0.7080419580419584
1601568317,5,17,1,10,2020,0,0.03,0,0.0077,0,0,0,4826,674,3.379,6.310566037735849,0.9259259259259259,3.333333333333334,6.310566037735849,0.36363636363636365,6.310566037735849,1.7657192075796728,5.910852713178295,6.310566037735849,0.6944444444444448
1601569213,20,17,1,10,2020,0,0.03,0,0.007355,0,1,1,4916,687,3.379,6.743018867924528,1.1111111111111112,4.166666666666667,6.743018867924528,0.3409090909090909,6.743018867924528,1.7872523686477175,6.007751937984496,6.743018867924528,0.6818181818181822
1601570107,35,17,1,10,2020,0,0.03,0,0.00704,0,0,0,4916,687,3.369,6.895283018867925,0.7407407407407408,3.333333333333334,6.895283018867925,0.3409090909090909,6.895283018867925,1.7657192075796728,5.910852713178295,6.895283018867925,0.6700626959247652
1601571003,50,17,1,10,2020,0,0.04,0,0.00648,1,3,3,4883,682,3.379,6.665094339622642,1.1111111111111112,5,6.665094339622642,0.36363636363636365,6.665094339622642,1.8087855297157622,6.104651162790698,6.665094339622642,0.6628787878787882
1601571897,4,18,1,10,2020,0,0.03,0,0.00704,0,0,15,4826,674,3.379,6.719811320754717,3.518518518518518,3.333333333333334,6.719811320754717,0.36363636363636365,6.719811320754717,1.9810508182601203,5.426356589147288,6.719811320754717,0.6524926686217012
1601572792,19,18,1,10,2020,0,0.04,0,0.00675,2,3,3,5152,723,3.379,6.540566037735849,4.074074074074074,5.833333333333333,6.540566037735849,0.38636363636363635,6.540566037735849,2.045650301464255,5.717054263565892,6.540566037735849,0.6463068181818185
1601573686,34,18,1,10,2020,0,0.04,0,0.007355,1,1,1,5409,763,3.379,6.540566037735849,4.074074074074074,5.833333333333333,6.540566037735849,0.4090909090909091,6.540566037735849,2.0025839793281652,5.523255813953488,6.540566037735849,0.6404958677685954
1601574580,49,18,1,10,2020,0,0.04,0,0.00559,1,1,4,5499,776,3.379,6.666666666666668,4.814814814814815,6.666666666666668,6.266981132075473,0.4318181818181819,6.266981132075473,2.0887166236003445,5.62015503875969,6.266981132075473,0.5785123966942152
1601575474,4,19,1,10,2020,0,0.04,0,0.00675,2,2,2,5353,754,3.379,6.317924528301887,4.62962962962963,5.833333333333333,6.317924528301887,0.4318181818181819,6.317924528301887,2.045650301464255,5.523255813953488,6.317924528301887,0.5509641873278239
1601576370,19,19,1,10,2020,0,0.03,0,0.010675,1,2,2,4496,624,3.379,7.500000000000001,2.2222222222222223,7.500000000000001,7.003773584905661,0.43181818181818177,7.003773584905661,2.0671834625322996,5.62015503875969,7.003773584905661,0.5406336088154273
1601577263,34,19,1,10,2020,0,0.03,0,0.010675,0,0,0,4457,618,3.379,7.744339622641509,1.6666666666666667,5,7.744339622641509,0.40909090909090906,7.744339622641509,1.9379844961240311,5.232558139534884,7.744339622641509,0.5371900826446284
1601578158,49,19,1,10,2020,0,0.03,0,0.010032,0,1,2,4752,663,3.379,8.24943396226415,1.8518518518518519,5,8.24943396226415,0.38636363636363635,8.24943396226415,1.7195767195767195,4.464285714285714,8.24943396226415,0.5371900826446284
1601579052,4,20,1,10,2020,0,0.03,0,0.012235,0,0,0,4214,581,3.379,9.503207547169811,1.1111111111111112,4.166666666666667,9.503207547169811,0.36363636363636365,9.503207547169811,1.6534391534391535,4.166666666666667,9.503207547169811,0.5303030303030306
1601579945,19,20,1,10,2020,0,0.03,0,0.010675,1,2,7,4364,603,3.379,10.243773584905663,2.037037037037037,4.166666666666667,10.243773584905663,0.3409090909090909,10.243773584905663,1.5652557319223985,4.067460317460317,10.243773584905663,0.5234159779614328
1601580839,33,20,1,10,2020,0,0.03,0,0.012235,0,0,0,4496,624,3.379,10.538113207547172,1.6666666666666667,2.5,10.538113207547172,0.3409090909090909,10.538113207547172,1.5432098765432098,3.9682539682539684,10.538113207547172,0.5096418732782372
1601581733,48,20,1,10,2020,0,0.03,0,0.011402,1,3,3,4530,629,3.379,10.675283018867924,2.2222222222222223,5,10.675283018867924,0.3409090909090909,10.675283018867924,1.5432098765432098,3.9682539682539684,10.675283018867924,0.49586776859504156
1601582627,3,21,1,10,2020,0,0.03,0,0.010675,0,5,5,4793,669,3.379,10.796603773584904,2.7777777777777777,8.333333333333334,10.796603773584904,0.3409090909090909,10.796603773584904,1.6149870801033592,4.36046511627907,10.796603773584904,0.482093663911846
1601583520,18,21,1,10,2020,0,0.03,0,0.010675,1,3,8,5116,718,3.379,10.833333333333334,4.259259259259259,10.833333333333334,10.502264150943397,0.3409090909090909,10.502264150943397,1.7466329966329968,4.545454545454546,10.502264150943397,0.4717630853994493
1601584413,33,21,1,10,2020,0,0.03,0,0.009463,2,2,2,5353,754,3.379,10.833333333333334,3.3333333333333335,10.833333333333334,10.273584905660378,0.3409090909090909,10.273584905660378,1.7489711934156378,4.62962962962963,10.273584905660378,0.45454545454545475
1601585308,48,21,1,10,2020,0,0.03,0,0.010032,1,2,3,5312,748,3.379,12.5,3.8888888888888893,12.5,9.857924528301888,0.3409090909090909,9.857924528301888,1.7713365539452497,4.7101449275362315,9.857924528301888,0.4407713498622591
1601586201,3,22,1,10,2020,0,0.03,0,0.009463,0,0,0,5620,795,3.379,10,3.3333333333333335,10,9.492075471698113,0.3409090909090909,9.492075471698113,1.7336485421591805,4.609929078014185,9.492075471698113,0.4269972451790635
1601587096,18,22,1,10,2020,0,0.03,0,0.008953,0,1,1,5861,831,3.379,9.167169811320754,2.5925925925925926,6.666666666666668,9.167169811320754,0.3409090909090909,9.167169811320754,1.716820987654321,4.600694444444445,9.167169811320754,0.41322314049586795
1601587989,33,22,1,10,2020,0,0.03,0,0.008953,0,0,0,5799,822,3.379,8.842264150943397,1.1111111111111112,4.166666666666667,8.842264150943397,0.3409090909090909,8.842264150943397,1.6817838246409675,4.5068027210884365,8.842264150943397,0.4028925619834713
1601588882,48,22,1,10,2020,0,0.03,0,0.008953,1,4,5,5923,841,3.379,8.746037735849056,1.6666666666666667,5.833333333333333,8.746037735849056,0.3409090909090909,8.746037735849056,1.7407407407407407,4.75,8.746037735849056,0.3925619834710745
1601589775,2,23,1,10,2020,0,0.03,0,0.008493,0,5,5,5861,831,3.379,8.45566037735849,2.037037037037037,8.333333333333334,8.45566037735849,0.3409090909090909,8.45566037735849,1.7973856209150327,5.065359477124183,8.45566037735849,0.38567493112947676
1601590669,17,23,1,10,2020,0,0.03,0,0.007355,1,4,6,6829,979,3.379,11.666666666666666,3.148148148148148,11.666666666666666,8.057924528301886,0.3409090909090909,8.057924528301886,1.8696581196581197,5.288461538461538,8.057924528301886,0.37878787878787895
1601591562,32,23,1,10,2020,0,0.03,0,0.007355,2,2,2,6285,896,3.379,12.5,3.3333333333333335,12.5,7.756415094339623,0.3409090909090909,7.756415094339623,1.8693221523410204,5.345911949685535,7.756415094339623,0.3753443526170801
1601592455,47,23,1,10,2020,0,0.03,0,0.0077,1,2,2,5974,849,3.379,14.166666666666668,3.7037037037037037,14.166666666666668,7.520000000000001,0.3409090909090909,7.520000000000001,1.8689986282578877,5.401234567901235,7.520000000000001,0.3684573002754822
1601593348,2,0,2,10,2020,0,0.03,0,0.007355,2,2,2,5799,822,3.379,12.5,3.148148148148148,12.5,7.218490566037735,0.3409090909090909,7.218490566037735,1.8686868686868685,5.454545454545455,7.218490566037735,0.3615702479338845
1601594242,17,0,2,10,2020,0,0.03,0,0.0077,4,8,11,5799,822,3.379,15.000000000000002,4.259259259259259,15.000000000000002,7.068867924528301,0.3409090909090909,7.068867924528301,2.017195767195767,5.9523809523809526,7.068867924528301,0.3581267217630856
1601595135,32,0,2,10,2020,0,0.03,0,0.0077,0,0,0,5734,812,3.379,11.666666666666666,3.148148148148148,11.666666666666666,7.133962264150943,0.3409090909090909,7.133962264150943,1.98180636777128,5.847953216374269,7.133962264150943,0.3581267217630856
1601596028,47,0,2,10,2020,0,0.03,0,0.008077,3,6,9,5799,822,3.379,15.000000000000002,4.444444444444445,15.000000000000002,7.270188679245283,0.3409090909090909,7.270188679245283,2.091315453384419,6.178160919540231,7.270188679245283,0.3581267217630856
1601596921,2,1,2,10,2020,0,0.03,0,0.008493,0,0,0,6038,858,3.379,13.333333333333336,4.074074074074074,13.333333333333336,7.419811320754717,0.3409090909090909,7.419811320754717,2.0558694287507846,6.073446327683616,7.419811320754717,0.3581267217630856
1601597814,16,1,2,10,2020,0,0.03,0,0.008493,3,5,5,5799,822,3.379,15.833333333333334,4.62962962962963,15.833333333333334,7.634528301886793,0.3409090909090909,7.634528301886793,2.0987654320987654,6.319444444444445,7.634528301886793,0.3581267217630856
1601598707,31,1,2,10,2020,0,0.03,0,0.008493,2,3,3,6099,868,3.379,11.666666666666666,3.148148148148148,11.666666666666666,7.784150943396227,0.3409090909090909,7.784150943396227,2.1098967820279295,6.420765027322404,7.784150943396227,0.35812672176308563
1601599600,46,1,2,10,2020,0,0.03,0,0.008953,2,5,5,5861,831,3.379,15.833333333333334,4.074074074074074,15.833333333333334,8.02056603773585,0.3409090909090909,8.02056603773585,2.1505376344086025,6.653225806451613,8.02056603773585,0.35812672176308563
1601600493,1,2,2,10,2020,0,0.03,0,0.009463,2,2,2,5679,804,3.379,12.5,2.7777777777777777,12.5,8.282075471698112,0.3409090909090909,8.282075471698112,2.145796590241035,6.67989417989418,8.282075471698112,0.3546831955922867
1601601386,16,2,2,10,2020,0,0.03,0,0.009463,2,5,7,5861,831,3.379,16.666666666666668,4.074074074074074,16.666666666666668,8.465094339622642,0.3409090909090909,8.465094339622642,2.2135416666666665,6.901041666666667,8.465094339622642,0.3546831955922867
1601602279,31,2,2,10,2020,0,0.03,0,0.010032,1,1,1,5152,723,3.379,13.333333333333336,3.3333333333333335,13.333333333333336,8.755471698113208,0.3409090909090909,8.755471698113208,2.1937321937321936,6.8589743589743595,8.755471698113208,0.3512396694214878
1601603172,46,2,2,10,2020,0,0.03,0,0.009463,2,4,4,5152,723,3.389,14.166666666666668,3.518518518518518,14.166666666666668,8.938490566037736,0.3409090909090909,8.938490566037736,2.2166105499438835,7.007575757575759,8.938490566037736,0.3477961432506889
1601604065,1,3,2,10,2020,0,0.03,0,0.009463,0,0,0,5409,763,3.379,10,2.5925925925925926,10,9.034716981132076,0.3409090909090909,9.034716981132076,2.183526810392482,6.902985074626866,9.034716981132076,0.34435261707989007
1601604958,15,3,2,10,2020,0,0.03,0,0.010032,3,6,9,5207,732,3.379,13.333333333333336,3.8888888888888893,13.333333333333336,9.142075471698112,0.3409090909090909,9.142075471698112,2.2739651416122006,7.169117647058824,9.142075471698112,0.3409090909090911
1601605851,30,3,2,10,2020,0,0.03,0,0.009463,8,8,8,5499,776,3.379,15.833333333333334,4.074074074074074,15.833333333333334,9.142075471698112,0.3409090909090909,9.142075471698112,2.3483628556092326,7.5483091787439625,9.142075471698112,0.3409090909090911
1601606744,45,3,2,10,2020,0,0.03,0,0.008493,1,3,3,5679,804,3.379,17.500000000000004,4.444444444444445,17.500000000000004,8.851698113207547,0.3409090909090909,8.851698113207547,2.3544973544973544,7.6190476190476195,8.851698113207547,0.3409090909090911
1601607636,0,4,2,10,2020,0,0.03,0,0.008953,3,3,3,5577,788,3.389,16.666666666666668,4.259259259259259,16.666666666666668,8.755471698113208,0.3409090909090909,8.755471698113208,2.360459050599896,7.687793427230047,8.755471698113208,0.3409090909090911
1601608529,15,4,2,10,2020,0,0.03,0,0.008953,1,3,3,5499,776,3.389,19.166666666666668,4.814814814814815,19.166666666666668,8.659245283018869,0.3409090909090909,8.659245283018869,2.366255144032922,7.754629629629631,8.659245283018869,0.3409090909090911
1601609422,30,4,2,10,2020,0,0.03,0,0.008953,15,15,15,5620,795,3.379,26.66666666666667,5.9259259259259265,26.66666666666667,8.45566037735849,0.3409090909090909,8.504566210045663,2.524099441907661,8.504566210045663,8.45566037735849,0.3409090909090911
1601610316,45,4,2,10,2020,0,0.03,0,0.008953,6,9,9,5499,776,3.379,27.5,6.111111111111111,27.5,8.35943396226415,0.3409090909090909,8.896396396396398,2.6026026026026026,8.896396396396398,8.35943396226415,0.3409090909090911
1601611209,0,5,2,10,2020,0,0.03,0,0.008953,4,4,4,5207,732,3.369,28.333333333333336,6.296296296296296,28.333333333333336,8.446226415094339,0.3409090909090909,9.000000000000002,2.617283950617284,9.000000000000002,8.446226415094339,0.3409090909090911
1601612101,15,5,2,10,2020,0,0.03,0,0.009463,5,9,11,5620,795,3.399,33.333333333333336,7.777777777777779,33.333333333333336,8.542452830188678,0.3409090909090909,9.375,2.7168615984405458,9.375,8.542452830188678,0.3409090909090911
1601612994,29,5,2,10,2020,0,0.03,0,0.010032,4,4,4,4793,669,3.379,34.166666666666664,7.962962962962963,34.166666666666664,8.746037735849056,0.3409090909090909,9.46969696969697,2.7296777296777295,9.46969696969697,8.746037735849056,0.3409090909090911
1601613887,44,5,2,10,2020,0,0.03,0,0.009463,8,12,13,4613,641,3.389,31.666666666666668,7.592592592592592,31.666666666666668,8.842264150943395,0.3409090909090909,9.98931623931624,2.8490028490028494,9.98931623931624,8.842264150943395,0.3409090909090911
1601614780,59,5,2,10,2020,0,0.03,0,0.010675,2,2,2,4457,618,3.369,25.833333333333336,6.296296296296296,25.833333333333336,9.167169811320754,0.3409090909090909,9.968354430379748,2.8363806844819504,9.968354430379748,9.167169811320754,0.3409090909090911
1601615672,14,6,2,10,2020,0,0.03,0,0.010675,7,13,15,4242,585,3.369,33.333333333333336,8.333333333333334,33.333333333333336,9.492075471698113,0.3409090909090909,10.520833333333334,2.9745370370370368,10.520833333333334,9.492075471698113,0.3409090909090911
1601616565,29,6,2,10,2020,0,0.03,0,0.010032,5,5,5,4578,636,3.339,30.000000000000004,7.222222222222222,30.000000000000004,9.59943396226415,0.3409090909090909,10.648148148148149,2.9949702789208965,10.648148148148149,9.59943396226415,0.3409090909090911
1601617458,44,6,2,10,2020,0,0.03,0,0.010032,9,12,13,4138,569,3.359,36.66666666666667,8.88888888888889,36.66666666666667,9.59943396226415,0.3409090909090909,11.128048780487806,3.1052393857271907,11.128048780487806,9.59943396226415,0.3409090909090911
1601618350,59,6,2,10,2020,0,0.02,0,0.011402,6,6,6,4182,576,3.359,31.666666666666668,7.592592592592592,31.666666666666668,9.965283018867925,0.3181818181818181,11.295180722891567,3.134761267291388,11.295180722891567,9.965283018867925,0.33746556473829226
1601619243,14,7,2,10,2020,0,0.02,0,0.010675,8,11,11,3802,518,3.339,39.16666666666667,9.25925925925926,39.16666666666667,9.965283018867925,0.29545454545454547,11.706349206349206,3.2186948853615522,11.706349206349206,9.965283018867925,0.3340220385674933
1601620135,28,7,2,10,2020,0,0.02,0,0.011402,3,5,16,3663,497,3.309,32.5,9.444444444444445,32.5,10.10245283018868,0.2727272727272727,11.813725490196079,3.355119825708061,11.813725490196079,10.10245283018868,0.33057851239669445
1601621027,43,7,2,10,2020,0,0.02,0,0.010675,6,11,12,3628,491,3.339,37.5,10.74074074074074,37.5,10.22377358490566,0.25,12.209302325581396,3.4453057708871664,12.209302325581396,10.22377358490566,0.32713498622589554
1601621920,58,7,2,10,2020,0,0.02,0,0.010675,1,3,3,3405,457,3.309,30.000000000000004,8.88888888888889,30.000000000000004,10.345094339622642,0.22727272727272727,12.21264367816092,3.4376330353341844,12.21264367816092,10.345094339622642,0.3236914600550966
1601622812,13,8,2,10,2020,0,0.02,0,0.010675,4,9,12,3628,491,3.309,32.5,10,32.5,10.20792452830189,0.22727272727272727,12.5,3.5248316498316496,12.5,10.20792452830189,0.32024793388429773
1601623704,28,8,2,10,2020,0,0.02,0,0.010675,3,4,4,3905,533,3.309,26.66666666666667,8.703703703703704,26.66666666666667,10.20792452830189,0.22727272727272727,12.54681647940075,3.526841448189763,12.54681647940075,10.20792452830189,0.3168044077134988
1601624597,43,8,2,10,2020,0,0.03,0,0.008953,10,14,14,3052,404,3.319,34.166666666666664,8.333333333333334,34.166666666666664,9.745849056603774,0.24999999999999997,13.055555555555557,3.6316872427983538,13.055555555555557,9.745849056603774,0.3168044077134988
